Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_1206_3216Metric",-71.000000,-74.000000,90.000000,bottom
"D2","D","D_1206_3216Metric",-71.000000,-91.000000,90.000000,bottom
"D3","D","D_1206_3216Metric",-71.000000,-108.000000,90.000000,bottom
"D4","D","D_1206_3216Metric",-53.000000,-74.000000,90.000000,bottom
"D5","D","D_1206_3216Metric",-53.000000,-91.000000,90.000000,bottom
"D6","D","D_1206_3216Metric",-53.000000,-108.000000,90.000000,bottom
"D7","D","D_1206_3216Metric",-35.000000,-74.000000,90.000000,bottom
"D8","D","D_1206_3216Metric",-35.000000,-91.000000,90.000000,bottom
"D9","D","D_1206_3216Metric",-35.000000,-108.000000,90.000000,bottom
"D10","D","D_1206_3216Metric",-17.000000,-74.000000,90.000000,bottom
"D11","D","D_1206_3216Metric",-17.000000,-91.000000,90.000000,bottom
"D12","D","D_1206_3216Metric",-17.000000,-108.000000,90.000000,bottom
"D13","D","D_1206_3216Metric",1.000000,-74.000000,90.000000,bottom
"D14","D","D_1206_3216Metric",1.000000,-91.000000,90.000000,bottom
"D15","D","D_1206_3216Metric",1.000000,-108.000000,90.000000,bottom
"D16","D","D_1206_3216Metric",19.000000,-108.000000,90.000000,bottom
"D17","D","D_1206_3216Metric",19.000000,-91.000000,90.000000,bottom
"D18","D","D_1206_3216Metric",19.000000,-74.000000,90.000000,bottom
"D19","D","D_1206_3216Metric",-17.000000,-125.000000,90.000000,bottom
"D20","D","D_1206_3216Metric",1.000000,-125.000000,90.000000,bottom
"D21","D","D_1206_3216Metric",19.000000,-125.000000,90.000000,bottom
"D22","D","D_1206_3216Metric",146.810000,-90.850000,90.000000,bottom
"D23","D","D_1206_3216Metric",146.660000,-107.950000,90.000000,bottom
"D24","D","D_1206_3216Metric",146.560000,-73.950000,90.000000,bottom
"D25","D","D_1206_3216Metric",128.660000,-107.850000,90.000000,bottom
"D26","D","D_1206_3216Metric",128.560000,-73.950000,90.000000,bottom
"D27","D","D_1206_3216Metric",128.860000,-90.950000,90.000000,bottom
"D28","D","D_1206_3216Metric",110.760000,-73.950000,90.000000,bottom
"D29","D","D_1206_3216Metric",110.960000,-91.050000,90.000000,bottom
"D30","D","D_1206_3216Metric",110.660000,-108.050000,90.000000,bottom
"D31","D","D_1206_3216Metric",92.660000,-91.050000,90.000000,bottom
"D32","D","D_1206_3216Metric",92.760000,-108.050000,90.000000,bottom
"D33","D","D_1206_3216Metric",92.760000,-74.050000,90.000000,bottom
"D34","D","D_1206_3216Metric",74.660000,-107.950000,90.000000,bottom
"D35","D","D_1206_3216Metric",74.660000,-90.950000,90.000000,bottom
